Asp,Elev,FalB1,FalB2,FalB3,FalB4,FalB5,FalB6,FalTCb,FalTCg,FalTCw,LAE,NDVIMin,NDVIMax,NDVIMedian,NDVIDiff,Slpp,SprB1,SprB2,SprB3,SprB4,SprB5,SprB6,SprTCb,SprTCg,SprTCw,SumB1,SumB2,SumB3,SumB4,SumB5,SumB6,SumTcb,SumTcg,SumTCw,ppti,tavei,dep
180,1661,752,1067,1339,1922,3014,2651,1531,215,-2145,2830,1639,3529,2400,1130,2,821,1206,1507,2491,3243,2922,1647,231,-2308,773,1095,1423,2274,3355,2648,1704,239,-2388,5382,37938,6286
90,2455,530,715,844,1572,2451,1920,1245,175,-1744,3632,2248,3717,3013,704,3,628,893,1018,2143,2819,2323,1432,201,-2006,609,883,1052,2007,2911,2287,1479,208,-2072,8638,35337,6282
216,2561,481,675,822,1573,2425,1794,1232,173,-1726,3729,2734,4729,3398,1331,4,549,795,874,2240,2561,1929,1301,183,-1823,512,766,915,2226,2661,1956,1352,190,-1894,9430,34909,6282
79,2619,551,798,1013,1995,2932,2095,1489,209,-2087,3792,2565,4002,3261,741,4,646,910,1092,2333,3190,2498,1621,227,-2270,636,908,1164,2276,3364,2572,1709,240,-2394,9335,34796,6282
315,1695,755,1122,1457,2254,3015,2591,1532,215,-2146,2867,1609,3640,2337,1303,2,876,1212,1476,2420,3281,2886,1667,234,-2335,765,1180,1598,2644,3315,2588,1684,236,-2359,5427,37889,6291
180,1687,788,1141,1419,2388,3100,2483,1575,221,-2206,2859,1513,3138,2064,1074,2,1059,1488,1820,2837,3763,3239,1912,268,-2678,1021,1490,1917,3010,3807,3052,1934,271,-2709,5502,37876,6291
180,1971,1066,1609,1994,2730,3724,3249,1892,266,-2650,3148,1327,1987,1623,364,2,970,1532,1948,2970,3696,3254,1878,264,-2630,1017,1598,2053,3012,3822,3238,1942,273,-2720,8800,36769,6282
292,1667,916,1259,1609,2228,3333,2995,1693,238,-2372,2834,1407,2865,1943,922,8,987,1400,1752,2691,3450,3123,1753,246,-2455,1030,1472,1896,2694,3625,3107,1842,258,-2580,5525,37880,6291
219,2002,1284,1848,2183,2792,3515,3203,1786,251,-2502,3176,987,1655,1220,436,22,1390,1727,1935,2705,3124,2753,1587,223,-2223,1393,1806,2086,2695,3297,2802,1675,235,-2346,7394,36496,6290
106,1970,1408,1993,2389,3132,4057,3697,2061,289,-2887,3137,959,1649,1237,412,22,1634,2176,2430,3198,3733,3333,1896,266,-2657,1526,2134,2467,3236,3817,3243,1939,272,-2717,7179,36653,6290
0,2098,895,1330,1593,2458,3279,2683,1666,234,-2334,3275,1391,2510,1975,535,3,1041,1534,1846,2800,3839,3272,1950,274,-2732,1089,1593,1957,2799,3917,3238,1990,279,-2788,7563,36410,6290
